danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0.491,0.272,2,-11.627,1,0.0283,0.874,0.000563,0.127,0.101,111.642,247385,4
0.278,0.0675,0,-20.946,1,0.04,0.97,0.732,0.0812,0.112,82.626,250573,3
0.255,0.174,9,-19.217,1,0.0379,0.805,0.00911,0.335,0.0829,80.707,146760,4
0.272,0.164,1,-17.04,1,0.046,0.929,0.0011,0.109,0.228,81.551,214400,3
0.378,0.352,3,-8.745,1,0.0354,0.812,5.17e-06,0.106,0.306,139.491,115693,5
0.543,0.485,8,-6.85,1,0.0305,0.558,0.0,0.12,0.371,136.961,223840,4
0.565,0.542,2,-9.569,1,0.0328,0.371,0.0,0.139,0.528,111.064,197293,4
0.36,0.205,10,-11.576,1,0.0477,0.571,0.0,0.0797,0.232,148.985,162827,4
0.544,0.533,1,-11.079,1,0.0307,0.153,0.00444,0.29,0.685,135.516,198587,4
0.5,0.729,4,-7.274,0,0.0314,0.141,2.07e-06,0.128,0.441,160.161,176493,4
0.506,0.195,7,-12.288,1,0.0358,0.559,2.54e-05,0.565,0.0523,114.184,234600,4
0.306,0.121,0,-15.551,0,0.0554,0.85,0.000176,0.257,0.166,174.053,206507,4
0.412,0.141,9,-16.999,1,0.0373,0.884,0.0,0.169,0.29,103.103,96547,3
0.362,0.338,9,-9.321,1,0.0393,0.806,0.0,0.3,0.389,93.999,149640,4
0.366,0.0279,11,-22.55,1,0.0461,0.92,0.0,0.109,0.35,167.751,54440,3
0.16,0.145,11,-20.495,0,0.0359,0.941,0.0919,0.103,0.0946,173.443,72627,1
0.175,0.393,6,-14.493,0,0.0363,0.964,2.1e-05,0.25,0.222,94.032,127680,4
0.242,0.592,9,-10.181,1,0.0387,0.0259,0.0,0.0792,0.317,167.567,225133,4
0.534,0.0556,0,-19.916,1,0.0481,0.922,0.00024,0.11,0.272,92.65,69813,4
0.274,0.144,5,-14.516,1,0.0482,0.92,0.000388,0.29,0.302,61.551,195493,5
0.405,0.62,0,-6.806,0,0.142,0.0419,1.38e-05,0.108,0.48,195.881,201342,4
0.696,0.317,3,-12.512,1,0.0307,0.781,1.47e-06,0.213,0.477,115.958,124867,4
0.621,0.476,7,-9.152,1,0.0325,0.652,0.0,0.1,0.576,124.266,196080,4
0.874,0.336,2,-11.438,1,0.0613,0.639,9.8e-05,0.0926,0.717,105.85,113440,4
0.636,0.412,8,-9.815,1,0.0558,0.662,5.96e-05,0.68,0.589,121.699,217787,4
0.164,0.0248,5,-27.25,1,0.0462,0.98,0.967,0.103,0.0553,79.083,76133,3
0.31,0.558,5,-10.399,0,0.0701,0.744,0.455,0.359,0.367,75.539,441453,4
0.561,0.932,5,-5.563,1,0.0614,0.00255,0.0,0.144,0.586,103.04,275587,4
0.439,0.303,3,-10.839,1,0.0422,0.839,0.0,0.071,0.268,139.475,170787,3
0.447,0.249,6,-16.528,0,0.0495,0.812,0.0,0.366,0.51,84.96,256093,4
0.597,0.784,6,-8.15,1,0.0858,0.109,0.00777,0.0523,0.9,164.056,242747,4
0.715,0.758,2,-7.52,1,0.0319,0.0162,0.0294,0.119,0.978,133.622,187267,4
0.372,0.641,2,-7.954,1,0.047,0.137,0.0,0.103,0.33,119.013,151400,3
0.689,0.819,10,-7.925,1,0.0671,0.605,0.915,0.304,0.526,79.008,51053,4
0.312,0.0766,9,-20.319,0,0.0408,0.967,0.488,0.0606,0.0493,136.866,168760,3
0.255,0.186,10,-17.451,1,0.0352,0.932,0.951,0.0895,0.166,75.532,131160,3
0.167,0.168,0,-20.745,0,0.0561,0.951,0.979,0.11,0.0816,210.805,55280,4
0.527,0.956,11,-3.581,0,0.0777,0.0217,0.000836,0.154,0.816,137.063,164293,4
0.446,0.587,2,-6.634,1,0.0413,0.565,0.000478,0.143,0.61,128.908,109280,4
0.446,0.606,5,-8.338,0,0.0931,0.524,0.13,0.873,0.182,123.773,591773,4
0.642,0.742,5,-8.211,1,0.0401,0.439,0.000656,0.126,0.897,106.235,125787,4
0.639,0.666,0,-7.775,1,0.0636,0.271,0.0,0.111,0.372,98.384,213733,4
0.338,0.173,1,-17.028,1,0.0433,0.926,0.00153,0.113,0.229,108.949,214533,4
0.377,0.198,5,-14.826,1,0.0518,0.83,0.0,0.612,0.468,109.787,178160,3
0.689,0.533,6,-14.205,1,0.0544,0.321,7.37e-05,0.0958,0.898,98.801,170880,4
0.408,0.313,0,-18.09,1,0.137,0.617,1.18e-05,0.115,0.725,170.013,213600,4
0.454,0.395,0,-14.572,0,0.0778,0.859,0.0,0.671,0.533,107.724,67653,4
0.601,0.386,0,-11.156,0,0.26,0.717,0.0,0.582,0.77,122.294,123000,4
0.68,0.463,5,-15.29,1,0.165,0.718,0.0,0.0985,0.858,99.662,195147,4
0.671,0.225,0,-16.569,1,0.0493,0.661,0.0,0.102,0.717,134.852,163387,4
0.354,0.411,0,-6.018,1,0.0344,0.815,1e-06,0.106,0.43,90.831,225080,4
0.737,0.637,6,-6.308,0,0.0735,0.262,0.0,0.319,0.537,100.033,124733,4
0.59,0.53,9,-6.123,1,0.127,0.441,0.0,0.0967,0.707,103.042,182107,4
0.5,0.342,7,-9.536,1,0.175,0.536,0.0,0.59,0.684,77.124,110987,1
0.321,0.474,5,-9.383,1,0.0348,0.743,0.0,0.204,0.804,121.199,162093,4
0.402,0.391,10,-16.112,1,0.0406,0.0634,0.0,0.296,0.568,83.789,239147,4
0.368,0.35,4,-17.313,1,0.0617,0.564,0.0,0.281,0.849,175.741,146053,4
0.551,0.384,0,-13.554,1,0.106,0.825,0.0,0.145,0.417,129.283,309133,4
0.238,0.247,5,-15.981,1,0.0362,0.972,0.00585,0.116,0.208,84.458,209680,5
0.689,0.333,0,-12.134,0,0.0307,0.817,5.13e-06,0.285,0.471,115.835,124160,4
0.163,0.325,9,-12.268,1,0.0337,0.993,0.135,0.214,0.0815,88.31,123200,5
0.24,0.0881,5,-19.065,0,0.041,0.78,5.88e-06,0.152,0.169,171.91,166307,4
0.672,0.322,7,-17.669,1,0.0339,0.144,2.96e-05,0.074,0.496,113.852,201680,4
0.462,0.242,7,-19.3,1,0.0616,0.447,0.0,0.115,0.652,168.006,183200,4
0.472,0.579,11,-10.424,1,0.15,0.336,0.000163,0.209,0.518,157.998,145640,4
0.471,0.832,0,-7.717,1,0.274,0.46,0.0,0.0821,0.665,164.863,140573,4
0.675,0.456,0,-10.354,1,0.0512,0.231,0.0,0.173,0.484,121.235,140227,4
0.69,0.819,0,-6.112,1,0.0647,0.402,2.26e-05,0.377,0.748,117.485,124200,4
0.572,0.168,7,-14.255,1,0.107,0.956,0.00104,0.127,0.302,100.101,271227,3
0.672,0.416,5,-12.439,1,0.311,0.921,0.00101,0.0975,0.914,126.576,168600,4
0.663,0.276,9,-11.565,0,0.118,0.959,1.84e-05,0.586,0.791,91.352,82000,4
0.746,0.404,7,-15.09,0,0.0995,0.662,0.000238,0.281,0.795,96.317,279453,4
0.455,0.428,0,-9.938,1,0.0462,0.714,0.00753,0.177,0.961,205.329,56653,4
0.308,0.19,0,-16.835,1,0.0421,0.919,1.21e-05,0.18,0.253,94.762,147707,4
0.737,0.485,2,-11.55,1,0.249,0.881,0.000674,0.805,0.81,120.289,275093,4
0.33,0.241,8,-13.392,1,0.0443,0.98,0.0164,0.634,0.206,137.083,287933,3
0.236,0.261,2,-13.647,1,0.0374,0.955,0.0245,0.424,0.106,93.383,195067,3
0.586,0.421,7,-10.672,1,0.0396,0.0763,1.12e-05,0.12,0.247,126.75,150680,4
0.693,0.587,5,-9.64,1,0.0296,0.224,8.46e-05,0.0768,0.892,114.6,209427,4
0.649,0.489,7,-12.336,1,0.0539,0.713,4.04e-05,0.0781,0.954,131.607,146320,4
0.63,0.742,8,-8.389,1,0.0414,0.0315,1.2e-05,0.0908,0.89,149.164,191453,4
0.704,0.215,4,-12.508,1,0.116,0.888,0.00241,0.365,0.656,92.829,134533,4
0.506,0.429,5,-13.823,1,0.254,0.458,5.25e-05,0.149,0.919,121.33,150133,4
0.385,0.752,0,-9.553,1,0.0945,0.692,0.00839,0.11,0.698,87.191,149213,4
0.618,0.232,1,-9.192,1,0.22,0.858,0.0,0.136,0.652,109.726,248478,5
0.182,0.276,5,-12.783,1,0.0357,0.833,1.47e-06,0.0976,0.228,63.424,161840,4
0.561,0.936,5,-5.409,1,0.0613,0.00185,0.0,0.102,0.594,103.055,276773,4
0.268,0.305,11,-12.608,0,0.0379,0.646,2.5e-05,0.169,0.307,135.806,168733,3
0.366,0.138,5,-15.067,1,0.0388,0.911,0.000403,0.253,0.307,135.828,195493,3
0.661,0.41,4,-8.391,1,0.0343,0.166,1.16e-06,0.0887,0.41,107.888,152507,4
0.242,0.173,3,-14.732,1,0.0472,0.967,0.000724,0.211,0.142,80.281,274480,1
0.652,0.603,0,-8.346,1,0.133,0.878,0.0,0.34,0.675,107.106,218400,1
0.604,0.541,1,-7.378,0,0.0915,0.639,0.0,0.169,0.892,134.326,191413,4
0.384,0.18,0,-17.279,1,0.101,0.77,0.0,0.367,0.368,73.603,291693,4
0.541,0.57,8,-6.712,1,0.0492,0.951,5.61e-05,0.269,0.852,105.556,77973,4
0.504,0.309,0,-13.946,1,0.0636,0.798,4.56e-05,0.539,0.583,72.304,185947,4
0.403,0.259,5,-11.371,1,0.166,0.829,1.61e-06,0.0451,0.473,69.283,190440,4
0.195,0.286,5,-13.24,1,0.036,0.99,0.358,0.281,0.281,169.624,162067,4
0.691,0.553,9,-11.253,0,0.116,0.279,0.0,0.107,0.395,121.84,219040,4
0.328,0.239,2,-16.467,0,0.0635,0.827,7.11e-06,0.152,0.246,75.996,386427,4
0.666,0.189,5,-16.991,1,0.137,0.946,0.0,0.103,0.572,80.312,58120,3
0.408,0.149,5,-15.955,1,0.0415,0.852,2.03e-06,0.313,0.459,70.251,138200,3
0.61,0.698,7,-8.616,1,0.028,0.284,3.63e-05,0.34,0.467,102.004,220293,4
0.65,0.252,8,-12.476,1,0.0469,0.989,0.151,0.0851,0.297,106.546,286493,4
0.618,0.314,10,-13.88,1,0.0341,0.805,0.00204,0.0886,0.548,88.825,129227,4
0.323,0.405,10,-8.533,0,0.0413,0.849,0.000544,0.138,0.274,145.104,194848,5
0.382,0.947,4,-4.568,0,0.126,0.0458,0.0,0.521,0.375,155.914,144231,3
0.588,0.325,1,-10.926,1,0.0374,0.836,1.16e-06,0.127,0.569,126.127,138987,4
0.647,0.319,0,-11.965,1,0.112,0.645,2.16e-06,0.146,0.959,131.31,102934,4
0.821,0.497,3,-10.209,1,0.139,0.699,0.0,0.0637,0.876,121.744,100493,4
0.46,0.219,2,-13.802,1,0.0563,0.932,0.0152,0.107,0.201,121.492,564400,4
0.219,0.362,9,-8.615,1,0.0327,0.794,1.03e-05,0.112,0.233,89.819,189478,1
0.719,0.825,0,-4.26,1,0.0521,0.39,3.75e-06,0.103,0.798,98.023,167933,4
0.582,0.831,0,-3.644,1,0.0494,0.457,0.000339,0.17,0.722,147.981,95493,4
0.378,0.352,3,-8.745,1,0.0354,0.812,5.17e-06,0.106,0.306,139.491,115693,5
0.611,0.553,0,-6.681,1,0.0328,0.415,0.0,0.497,0.573,84.996,164453,4
0.53,0.584,0,-11.891,1,0.218,0.274,0.0,0.158,0.575,81.854,251520,4
0.337,0.331,5,-10.16,1,0.0385,0.657,0.0,0.085,0.35,103.203,182613,5
0.62,0.496,7,-7.509,1,0.133,0.597,1.36e-05,0.322,0.636,126.032,112205,4
0.302,0.414,2,-8.16,1,0.0319,0.0575,0.0,0.0861,0.105,110.508,242956,4
0.688,0.817,7,-5.923,1,0.0319,0.0133,0.0,0.0649,0.81,96.032,206440,4
0.696,0.391,4,-11.132,1,0.0273,0.606,0.0,0.11,0.257,111.715,251400,4
0.698,0.96,8,-3.595,1,0.142,0.011,1.41e-06,0.435,0.738,147.999,163427,4
0.788,0.745,5,-7.072,1,0.258,0.29,0.0,0.0373,0.672,135.278,163893,4
0.309,0.544,9,-9.621,1,0.352,0.155,0.000265,0.0727,0.16,180.979,175517,4
0.673,0.42,4,-7.581,1,0.0317,0.112,0.0,0.0897,0.385,108.066,152333,4
0.684,0.471,0,-9.43,1,0.043,0.208,0.0,0.14,0.453,121.081,140093,4
0.689,0.578,9,-8.737,1,0.0368,0.36,0.0,0.11,0.391,98.043,141413,4
0.512,0.499,0,-6.485,1,0.0519,0.809,2.22e-05,0.284,0.51,78.907,144427,4
0.281,0.139,5,-14.392,1,0.0305,0.829,0.0,0.0725,0.169,92.64,224240,4
0.764,0.256,11,-9.934,1,0.0392,0.741,0.0,0.262,0.565,114.062,128606,4
0.568,0.746,8,-6.582,1,0.0293,0.0549,3.66e-06,0.0966,0.626,96.626,258147,4
0.641,0.863,9,-5.284,1,0.0346,0.0379,0.000829,0.335,0.677,141.634,164760,4
0.264,0.401,8,-8.496,1,0.0318,0.641,0.000144,0.101,0.221,86.786,194542,4
0.479,0.554,6,-6.999,1,0.0272,0.141,0.0,0.101,0.253,81.335,227928,4
0.427,0.593,9,-7.62,1,0.06,0.418,0.0,0.0733,0.531,113.659,288763,4
0.705,0.609,1,-4.897,1,0.0307,0.0257,0.0,0.0846,0.476,115.474,196853,4
0.321,0.29,9,-13.927,1,0.0343,0.799,0.00324,0.361,0.0783,92.375,146840,4
0.689,0.779,1,-4.387,1,0.131,0.321,1.04e-05,0.384,0.498,107.226,142093,4
0.561,0.932,5,-5.475,1,0.0584,0.00346,0.0,0.181,0.67,103.062,275640,4
0.609,0.705,7,-8.627,1,0.0282,0.307,8.87e-05,0.316,0.509,101.998,219787,4
0.505,0.624,7,-6.513,1,0.0371,0.0235,0.0,0.5,0.215,139.849,224387,4
0.703,0.856,11,-6.336,0,0.0461,0.00064,0.00126,0.38,0.722,108.025,195027,4
0.734,0.87,1,-4.16,1,0.167,0.105,2.65e-06,0.0579,0.944,158.124,162720,4
0.264,0.23,1,-9.158,0,0.0317,0.783,1.45e-06,0.118,0.243,134.558,207973,4
0.484,0.853,6,-4.548,1,0.124,7.36e-06,0.0139,0.111,0.499,134.077,214547,4
0.614,0.827,1,-4.207,1,0.0923,0.0216,2.47e-05,0.128,0.554,126.991,241360,4
0.637,0.83,11,-6.808,0,0.0865,0.0273,0.0,0.0489,0.446,127.952,220093,4
0.737,0.814,1,-5.433,1,0.0363,0.00084,0.0902,0.118,0.753,132.962,215253,4
0.706,0.907,6,-5.854,1,0.0443,0.00254,5.7e-06,0.055,0.879,119.914,175292,4
0.382,0.418,7,-8.794,1,0.0348,0.379,0.0035,0.126,0.13,169.391,98212,4
0.537,0.867,4,-5.656,1,0.0486,0.0639,0.0,0.0944,0.589,104.388,216480,4
0.497,0.889,4,-5.062,0,0.124,0.058,0.0,0.225,0.623,88.988,204133,4
0.419,0.689,7,-6.13,0,0.0661,0.0573,0.0,0.389,0.293,150.119,236533,4
0.581,0.772,8,-7.17,1,0.0295,0.00852,2.98e-05,0.0837,0.172,98.962,284893,4
0.665,0.83,1,-6.43,1,0.0303,0.0163,0.0,0.129,0.893,122.266,170200,4
0.534,0.976,6,-2.337,1,0.0782,0.0175,1.02e-06,0.27,0.912,164.68,185760,4
0.753,0.874,11,-5.365,1,0.036,0.0396,0.0,0.0949,0.806,104.365,200067,4
0.862,0.8,7,-5.165,0,0.0445,0.461,0.0,0.106,0.948,126.967,221467,4
0.965,0.789,6,-6.766,0,0.0969,0.138,0.000431,0.108,0.87,119.946,201640,4
0.834,0.534,7,-11.506,1,0.0468,0.164,0.905,0.0921,0.728,142.003,216200,4
0.629,0.962,7,-5.335,1,0.382,0.149,0.0,0.0741,0.421,141.973,118760,4
0.385,0.412,7,-9.405,1,0.0394,0.73,5e-05,0.0977,0.422,126.102,146907,4
0.683,0.664,4,-10.883,0,0.154,0.0207,0.0,0.319,0.224,110.05,150000,4
0.445,0.532,8,-8.018,1,0.0405,0.254,0.0,0.109,0.465,128.776,193096,4
0.689,0.725,1,-6.17,1,0.054,0.0885,0.000465,0.0485,0.539,119.373,175223,4
0.688,0.732,2,-6.162,1,0.0618,0.0536,0.0,0.145,0.665,97.703,155532,4
0.409,0.765,10,-5.674,0,0.104,0.0574,0.0,0.0922,0.365,97.383,209667,4
0.395,0.375,0,-7.948,1,0.034,0.225,0.0,0.145,0.131,121.04,175594,4
0.474,0.489,6,-7.625,0,0.0342,0.467,0.0,0.119,0.23,124.844,208801,4
0.302,0.414,2,-8.16,1,0.0319,0.0575,0.0,0.0861,0.105,110.508,242956,4
0.738,0.831,2,-6.213,1,0.221,0.278,0.0,0.452,0.493,97.908,159360,4
0.456,0.828,1,-6.225,1,0.077,0.0244,0.0,0.21,0.313,116.719,189132,4
0.782,0.775,5,-4.49,0,0.0975,0.309,0.0,0.322,0.882,135.966,177353,4
0.519,0.731,11,-3.993,1,0.0402,0.0571,0.0,0.381,0.296,82.967,173975,4
0.59,0.388,5,-9.288,0,0.033,0.603,0.0,0.107,0.506,142.961,166200,3
0.627,0.635,6,-8.584,1,0.0328,0.000347,0.00131,0.088,0.254,90.009,212112,4
0.394,0.718,7,-6.336,1,0.0607,0.706,0.0,0.116,0.247,151.912,158258,4
0.321,0.429,6,-7.073,1,0.0302,0.724,9.1e-05,0.0606,0.174,123.419,260907,4
0.443,0.406,5,-9.064,1,0.0391,0.00903,0.0,0.0979,0.0558,80.896,273120,4
0.297,0.518,10,-8.152,1,0.0378,0.412,1.1e-05,0.298,0.496,81.425,241800,4
0.487,0.472,2,-11.154,1,0.0522,0.19,0.0,0.114,0.291,101.343,159413,4
0.772,0.43,1,-14.087,0,0.0359,0.615,5.55e-05,0.0489,0.442,114.871,187760,4
0.584,0.45,0,-15.443,1,0.0602,0.648,5.39e-06,0.128,0.72,79.923,225107,4
0.679,0.54,2,-11.177,1,0.0583,0.344,0.0,0.0888,0.749,89.76,174760,4
0.32,0.306,9,-13.28,1,0.0393,0.828,4.16e-06,0.0891,0.152,86.261,179040,1
0.489,0.838,1,-4.578,1,0.0589,0.0123,0.0,0.104,0.671,167.976,170720,4
0.637,0.982,5,-5.243,1,0.464,0.000232,0.853,0.111,0.344,140.048,171429,4
0.565,0.963,11,-4.408,0,0.0381,0.000201,0.812,0.246,0.193,125.987,160000,4
0.736,0.706,2,-3.899,0,0.0438,0.0133,0.0,0.324,0.758,123.047,173220,4
0.604,0.777,0,-5.181,1,0.0454,0.0321,0.0,0.125,0.32,130.047,202893,4
