danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,uri,track_href,analysis_url,duration_ms,time_signature
0.491,0.272,2,-11.627,1,0.0283,0.874,0.000563,0.127,0.101,111.642,1ENnpCRfGWQLVGL9pEyVao,spotify:track:1ENnpCRfGWQLVGL9pEyVao,https://api.spotify.com/v1/tracks/1ENnpCRfGWQLVGL9pEyVao,https://api.spotify.com/v1/audio-analysis/1ENnpCRfGWQLVGL9pEyVao,247385,4
0.278,0.0675,0,-20.946,1,0.04,0.97,0.732,0.0812,0.112,82.626,7iocNjLrxPHLl8njgRlv5U,spotify:track:7iocNjLrxPHLl8njgRlv5U,https://api.spotify.com/v1/tracks/7iocNjLrxPHLl8njgRlv5U,https://api.spotify.com/v1/audio-analysis/7iocNjLrxPHLl8njgRlv5U,250573,3
0.255,0.174,9,-19.217,1,0.0379,0.805,0.00911,0.335,0.0829,80.707,2AILbz83cBnrAMAG06rZts,spotify:track:2AILbz83cBnrAMAG06rZts,https://api.spotify.com/v1/tracks/2AILbz83cBnrAMAG06rZts,https://api.spotify.com/v1/audio-analysis/2AILbz83cBnrAMAG06rZts,146760,4
0.272,0.164,1,-17.04,1,0.046,0.929,0.0011,0.109,0.228,81.551,1OYOLWqKmhkFIx2KC9ek1a,spotify:track:1OYOLWqKmhkFIx2KC9ek1a,https://api.spotify.com/v1/tracks/1OYOLWqKmhkFIx2KC9ek1a,https://api.spotify.com/v1/audio-analysis/1OYOLWqKmhkFIx2KC9ek1a,214400,3
0.378,0.352,3,-8.745,1,0.0354,0.812,5.17e-06,0.106,0.306,139.491,2P8QqrZ42YNP8Ao5uRMLO0,spotify:track:2P8QqrZ42YNP8Ao5uRMLO0,https://api.spotify.com/v1/tracks/2P8QqrZ42YNP8Ao5uRMLO0,https://api.spotify.com/v1/audio-analysis/2P8QqrZ42YNP8Ao5uRMLO0,115693,5
0.543,0.485,8,-6.85,1,0.0305,0.558,0.0,0.12,0.371,136.961,0qcr5FMsEO85NAQjrlDRKo,spotify:track:0qcr5FMsEO85NAQjrlDRKo,https://api.spotify.com/v1/tracks/0qcr5FMsEO85NAQjrlDRKo,https://api.spotify.com/v1/audio-analysis/0qcr5FMsEO85NAQjrlDRKo,223840,4
0.565,0.542,2,-9.569,1,0.0328,0.371,0.0,0.139,0.528,111.064,575TC82P638HnynAEbAXuU,spotify:track:575TC82P638HnynAEbAXuU,https://api.spotify.com/v1/tracks/575TC82P638HnynAEbAXuU,https://api.spotify.com/v1/audio-analysis/575TC82P638HnynAEbAXuU,197293,4
0.36,0.205,10,-11.576,1,0.0477,0.571,0.0,0.0797,0.232,148.985,6uk7QQiWRDjPHSiSMZlez8,spotify:track:6uk7QQiWRDjPHSiSMZlez8,https://api.spotify.com/v1/tracks/6uk7QQiWRDjPHSiSMZlez8,https://api.spotify.com/v1/audio-analysis/6uk7QQiWRDjPHSiSMZlez8,162827,4
0.544,0.533,1,-11.079,1,0.0307,0.153,0.00444,0.29,0.685,135.516,5JypFayfT1V5OG4xJ8q7jK,spotify:track:5JypFayfT1V5OG4xJ8q7jK,https://api.spotify.com/v1/tracks/5JypFayfT1V5OG4xJ8q7jK,https://api.spotify.com/v1/audio-analysis/5JypFayfT1V5OG4xJ8q7jK,198587,4
0.5,0.729,4,-7.274,0,0.0314,0.141,2.07e-06,0.128,0.441,160.161,30uLviIQ59DMggZOC2VNpo,spotify:track:30uLviIQ59DMggZOC2VNpo,https://api.spotify.com/v1/tracks/30uLviIQ59DMggZOC2VNpo,https://api.spotify.com/v1/audio-analysis/30uLviIQ59DMggZOC2VNpo,176493,4
0.506,0.195,7,-12.288,1,0.0358,0.559,2.54e-05,0.565,0.0523,114.184,5GK4ax71sSIokiNEZsND3d,spotify:track:5GK4ax71sSIokiNEZsND3d,https://api.spotify.com/v1/tracks/5GK4ax71sSIokiNEZsND3d,https://api.spotify.com/v1/audio-analysis/5GK4ax71sSIokiNEZsND3d,234600,4
