Song,Movie,Link,id
Our Town,Cars Original Soundtrack (English Version),https://api.spotify.com/v1/tracks/1ENnpCRfGWQLVGL9pEyVao,1ENnpCRfGWQLVGL9pEyVao
Married Life,Up (Original Motion Picture Soundtrack),https://api.spotify.com/v1/tracks/7iocNjLrxPHLl8njgRlv5U,7iocNjLrxPHLl8njgRlv5U
"Reflection - From ""Mulan"" / Soundtrack Version",Mulan,https://api.spotify.com/v1/tracks/2AILbz83cBnrAMAG06rZts,2AILbz83cBnrAMAG06rZts
"Colors of the Wind - From ""Pocahontas"" / Soundtrack Version",Pocahontas,https://api.spotify.com/v1/tracks/1OYOLWqKmhkFIx2KC9ek1a,1OYOLWqKmhkFIx2KC9ek1a
"Ma Belle Evangeline - From ""The Princess and the Frog""/Soundtrack Version",The Princess and the Frog,https://api.spotify.com/v1/tracks/2P8QqrZ42YNP8Ao5uRMLO0,2P8QqrZ42YNP8Ao5uRMLO0
"Let It Go - From ""Frozen""/Soundtrack Version",Frozen (Original Motion Picture Soundtrack / Deluxe Edition),https://api.spotify.com/v1/tracks/0qcr5FMsEO85NAQjrlDRKo,0qcr5FMsEO85NAQjrlDRKo
Barking at the Moon - Soundtrack,Bolt,https://api.spotify.com/v1/tracks/575TC82P638HnynAEbAXuU,575TC82P638HnynAEbAXuU
I Am Moana (Song of the Ancestors),Moana (Original Motion Picture Soundtrack/Deluxe Edition),https://api.spotify.com/v1/tracks/6uk7QQiWRDjPHSiSMZlez8,6uk7QQiWRDjPHSiSMZlez8
"Strange Things - From ""Toy Story""/Soundtrack Version",Toy Story,https://api.spotify.com/v1/tracks/5JypFayfT1V5OG4xJ8q7jK,5JypFayfT1V5OG4xJ8q7jK
You Can't Take Me,Spirit: Stallion Of The Cimarron (Music From The Original Motion Picture),https://api.spotify.com/v1/tracks/30uLviIQ59DMggZOC2VNpo,30uLviIQ59DMggZOC2VNpo
Sound The Bugle,Spirit: Stallion Of The Cimarron (Music From The Original Motion Picture),https://api.spotify.com/v1/tracks/5GK4ax71sSIokiNEZsND3d,5GK4ax71sSIokiNEZsND3d
"Do You Want to Build a Snowman? - From ""Frozen""/Soundtrack Version",Frozen (Original Motion Picture Soundtrack / Deluxe Edition),https://api.spotify.com/v1/tracks/2yi7HZrBOC4bMUSTcs4VK6,2yi7HZrBOC4bMUSTcs4VK6
You'll Be In My Heart,Tarzan Original Soundtrack,https://api.spotify.com/v1/tracks/0loKEMa9DP6mLibdFMe6Uv,0loKEMa9DP6mLibdFMe6Uv
"For the First Time in Forever (Reprise) - From ""Frozen""/Soundtrack Version",Frozen (Original Motion Picture Soundtrack / Deluxe Edition),https://api.spotify.com/v1/tracks/65GjU6KDPzF5IO143vvTgn,65GjU6KDPzF5IO143vvTgn
"Healing Incantation - From ""Tangled""/Soundtrack Version",Tangled,https://api.spotify.com/v1/tracks/75VVIB2x1h6BfxD2PqOO57,75VVIB2x1h6BfxD2PqOO57
Know Who You Are,Moana (Original Motion Picture Soundtrack/Deluxe Edition),https://api.spotify.com/v1/tracks/2wCRJwiL1WSrW0Dwfco7Nj,2wCRJwiL1WSrW0Dwfco7Nj
Baby Mine,Disney's Greatest Love Songs,https://api.spotify.com/v1/tracks/2JLfmZQGqu4kt79l09Xcxx,2JLfmZQGqu4kt79l09Xcxx
Little Wonders,Meet the Robinsons (Original Motion Picture Soundtrack),https://api.spotify.com/v1/tracks/0InW8BolYQOtEilob4C6LO,0InW8BolYQOtEilob4C6LO
Remember Me (Lullaby),Coco (Original Motion Picture Soundtrack),https://api.spotify.com/v1/tracks/2cFGv8v5DcbJXHEdzouFne,2cFGv8v5DcbJXHEdzouFne
"Part of Your World - From ""The Little Mermaid"" / Soundtrack Version",Little Mermaid (Special Edition),https://api.spotify.com/v1/tracks/7tUSJY4nsDBJTjd1UXKRsT,7tUSJY4nsDBJTjd1UXKRsT
In This Place,Ralph Breaks the Internet (Original Motion Picture Soundtrack),https://api.spotify.com/v1/tracks/2cOE7d35PyfAh9M7DglPk0,2cOE7d35PyfAh9M7DglPk0
You've Got a Friend in Me,Toy Story Original Soundtrack (English Version),https://api.spotify.com/v1/tracks/2O8YJmOg9lOgn5JNHF9Qi9,2O8YJmOg9lOgn5JNHF9Qi9
"The Time Of Your Life - From ""A Bug's Life""/Score",A Bug's Life,https://api.spotify.com/v1/tracks/33GqT5sh9PQq8mnTPWUkco,33GqT5sh9PQq8mnTPWUkco
Woody's Roundup,Toy Story 2,https://api.spotify.com/v1/tracks/2ar6N0eVWjj0ooGEBR57RZ,2ar6N0eVWjj0ooGEBR57RZ
